name_unqual,cnt
_⊙_,15
mapA,15
infimum,15
_↑⋆_,15
<-strictPartialOrder,15
delete,15
take,15
surjection,15
length,15
forA,15
++⁺ˡ,15
isCommutativeSemigroup,15
wk⋆,15
_∨_,15
_∧_,15
isBisemimodule,15
sequenceA,15
wk,15
applicativeZero,15
++⁺ʳ,15
_↑✶_,15
rawSemiring,15
relTo,15
size,14
\\-isMagmaHomomorphism,14
<-irrefl,14
-ᴹ‿inverseʳ,14
_≤?_,14
_*ₗ_,14
-ᴹ‿inverse,14
∙-isMagmaHomomorphism,14
isQuasigroupHomomorphism,14
drop⁺,14
∨-least,14
isPrerightSemimodule,14
+-commutativeSemigroup,14
+ᴹ-isAbelianGroup,14
unzip,14
_⊕_,14
*ₗ-*ᵣ-assoc,14
x∧y≤y,14
x∧y≤x,14
∧-greatest,14
+-isAbelianGroup,14
semiring,14
rawRelation,14
-ᴹ‿cong,14
//-homo,14
-ᴹ‿inverseˡ,14
x≤x∨y,14
\\-homo,14
protoMetric,14
*ᵣ-congˡ,14
y≤x∨y,14
suc,14
supremum,14
_=<<_,14
unzipWith,14
*ₗ-congʳ,14
≡-setoid,14
<-trans,14
//-isMagmaHomomorphism,14
*-monoid,14
isPreleftSemimodule,14
*ᵣ-congʳ,14
+ᴹ-isGroup,14
drop,14
++⁻,14
concat,14
*-rawMonoid,14
*ₗ-congˡ,14
<-asym,14
isMonoidMonomorphism,14
LeftCongruent,13
_<=<_,13
take⁺,13
Commutative,13
≡-decSetoid,13
op,13
subst,13
bijection,13
_>=>_,13
∼-respʳ-≈,13
_∈?_,13
_/✶_,13
RightZero,13
∧-congʳ,13
here,13
+-unitalMagma,13
∼-respˡ-≈,13
reverse⁺,13
isSemiMetric,13
+-commutativeMonoid,13
RightCongruent,13
_─_,13
<-strictTotalOrder,13
nearSemiring,13
∨-congʳ,13
LeftZero,13
equalitySubRelation,13
isLoop,13
application,13
reverse,13
respects,13
∼-resp-≈,13
∨-congˡ,13
isDecPartialOrder,13
∧-congˡ,13
minimum,13
absorptive,13
_×_,13
<-isStrictTotalOrder,13
decidable,13
monoid,13
leftDividesˡ,12
isLeftModuleMonomorphism,12
_≥_,12
choice,12
isRightSemimoduleIsomorphism,12
∧-comm,12
+-isMagmaMonomorphsm,12
∨-comm,12
IsMagmaMonomorphism,12
leftDivides,12
transᵢ,12
⨀,12
reflexiveᵢ,12
isLeftSemimoduleIsomorphism,12
eqRelation,12
injection,12
there,12
begin-contradiction_,12
begin-strict_,12
//-congʳ,12
rightDividesʳ,12
irrefl,12
replicate,12
<-respˡ-≈,12
_//_,12
\\-cong,12
leftDividesʳ,12
isSemimoduleHomomorphism,12
//-congˡ,12
//-cong,12
rightDivides,12
reflᵢ,12
IsMagmaIsomorphism,12
-‿inverse,12
∨-assoc,12
IsMagmaHomomorphism,12
+ᴹ-rawGroup,12
isBimoduleHomomorphism,12
to-cong,12
randomIO,12
isRightModuleMonomorphism,12
initLast,12
\\-congʳ,12
∧-assoc,12
isTotalOrder,12
_≰_,12
≤-isPartialOrder,12
_≮_,12
insertWith,12
rawBisemimodule,12
<-respʳ-≈,12
<-resp-≈,12
-‿inverseˡ,12
+-isGroup,12
rightDividesˡ,12
isGroupHomomorphism,12
\\-congˡ,12
-‿inverseʳ,12
+-isInvertibleMagma,12
+-isGroupMonomorphism,12
⁻¹-cong,12
-ᴹ_,12
+-isInvertibleUnitalMagma,12
≤-isPreorder,12
step-<,11
step-≤,11
≤-isDecTotalOrder,11
isStrict,11
abs,11
isEquivalence₂,11
_:=_,11
∧-distribˡ-∨,11
sum,11
_\\_,11
_:+_,11
strictRelation,11
∷-injectiveˡ,11
≤-decTotalOrder,11
strict,11
isEquivalence₁,11
_∷ʳ_,11
from-cong,11
⟦_⟧⇓,11
≤-total,11
∨-absorbs-∧,11
_:*_,11
≤-go,11
_∼_,11
isSurjection,11
tabulate⁻,11
∧-absorbs-∨,11
∷-injectiveʳ,11
Pointwise,11
_≱_,11
IsStrict,11
extensionality,11
≤-isTotalOrder,11
≤-preorder,11
preMetric,11
Any,11
Expr,11
monadT,11
_⊆_,11
id-↑⋆,11
isStrictPartialOrder,11
<-go,11
